case_id,dataset_root,control_interval_s,episode_length_days,warmup_period_days,n_train_episodes,n_val_episodes,n_test_episodes,train_start_days,val_start_days,test_start_days,zone_signal_count,control_signal_count,has_predictor_mpc_overrides,loss_weight_mode,lambda_physics,batch_size,max_epochs,learning_rate,weight_decay,early_stopping_patience,early_stopping_min_epochs,best_epoch,best_val_loss,val_rmse_degC,test_rmse_degC,val_rollout_rmse_degC,test_rollout_rmse_degC
bestest_hydronic,datasets/eu/bestest_hydronic,900,7,7.0,3,1,3,0;112;224,56,140;280;336,1,1,False,manual,0.01,256,80,0.001,1e-05,25,40,79,0.010168082619310757,0.33670844469435696,0.35755732940091217,1.2835622958909634,2.1678260200819204
bestest_hydronic_heat_pump,datasets/eu/bestest_hydronic_heat_pump,900,7,7.0,3,1,3,0;112;224,56,140;280;336,1,1,True,manual,0.01,256,80,0.001,1e-05,25,40,47,0.00031064230193635214,0.04641486696160409,0.04353438776672246,0.3951156477126778,0.7362259683786097
singlezone_commercial_hydronic,datasets/eu/singlezone_commercial_hydronic,900,7,7.0,3,1,3,0;112;224,56,140;280;336,1,1,True,manual,0.01,256,80,0.001,1e-05,25,40,80,0.007024447944420549,0.08038232643415671,0.07108575610039576,0.3411324107760628,0.5364971247781307
twozone_apartment_hydronic,datasets/eu/twozone_apartment_hydronic,900,7,7.0,3,1,3,0;112;224,56,140;280;336,2,2,False,manual,0.01,256,80,0.001,1e-05,25,40,44,0.0003844721163584866,0.07346609023095263,0.05866226215845093,1.405947687986862,3.0934445601282166
