case_id,n_train_episodes,n_val_episodes,n_test_episodes,split_leakage,time_monotonic,dt_consistent_900s,dt_mode_s,finite_values,value_ranges,distribution_shift_ok,val_outside_train_outdoor_frac,test_outside_train_outdoor_frac,val_outside_train_solar_frac,test_outside_train_solar_frac,val_rmse_degC,val_mae_degC,val_rollout_rmse_degC,val_rollout_mae_degC,test_rmse_degC,test_mae_degC,test_rollout_rmse_degC,test_rollout_mae_degC,rollout_ratio,rollout_mae_ratio,rollout_stability,rollout_stability_mae
bestest_hydronic,3,1,3,PASS,PASS,PASS,900,PASS,PASS,PASS,0.0,0.0,0.0,0.003968,0.336708,0.271252,1.283562,1.013832,0.357557,0.294659,2.167826,1.720074,6.0629,5.8375,PASS,PASS
bestest_hydronic_heat_pump,3,1,3,PASS,PASS,PASS,900,PASS,PASS,PASS,0.0,0.0,0.0,0.003968,0.046415,0.035587,0.395116,0.270373,0.043534,0.034052,0.736226,0.622282,16.9114,18.2745,FAIL,FAIL
singlezone_commercial_hydronic,3,1,3,PASS,PASS,PASS,900,PASS,PASS,PASS,0.0,0.027778,0.0,0.021825,0.080382,0.065947,0.341132,0.284357,0.071086,0.054597,0.536497,0.449255,7.5472,8.2285,PASS,PASS
twozone_apartment_hydronic,3,1,3,PASS,PASS,PASS,900,PASS,PASS,PASS,0.065476,0.006944,0.0,0.0,0.073466,0.055775,1.405948,1.090429,0.058662,0.043038,3.093445,2.394292,52.7331,55.6315,FAIL,FAIL
