episode,rc_comfort_Kh,rc_viol_steps,rc_energy_Wh,rc_peak_W,rc_solve_ms,pinn_comfort_Kh,pinn_viol_steps,pinn_energy_Wh,pinn_peak_W,pinn_solve_ms,rbc_comfort_Kh,rbc_viol_steps,rbc_energy_Wh,rbc_peak_W,rbc_solve_ms,rc_vs_rbc_energy_pct,pinn_vs_rbc_energy_pct,rc_vs_rbc_comfort_pct,pinn_vs_rbc_comfort_pct,rc_vs_rbc_peak_pct,pinn_vs_rbc_peak_pct
te_ext_01,4.1887,128,21706704.15,177879.63,2.5,0.5839,72,13466277.78,177893.29,87.824,0.9072,106,13379907.66,177893.29,0.0,62.23358711879181,0.6455210468918825,361.7173721340388,-35.63712522045856,-0.00767876067725966,0.0
te_ext_02,4.1887,128,21706704.15,177879.63,2.446,0.5839,72,13466277.78,177893.29,109.432,0.9072,106,13379907.66,177893.29,0.0,62.23358711879181,0.6455210468918825,361.7173721340388,-35.63712522045856,-0.00767876067725966,0.0
te_std_01,9.1316,144,14502002.64,149571.51,2.382,0.2018,19,5490062.94,134039.75,32.502,0.2018,19,5490062.94,134039.75,0.0,164.15002520900057,0.0,4425.074331020813,0.0,11.587428356140629,0.0
te_std_02,4.593,97,20285474.02,204822.39,2.382,1.2259,109,12060842.49,204828.35,38.741,1.2259,109,12060842.5,204828.35,0.0,68.19284407370381,-8.291294556315267e-08,274.6635125214128,0.0,-0.002909753459417044,0.0
